Fiscal Year,County,Region,Operation Type,Validated Investigation,Completed RCCI Abuse/Neglect Investigations
2021,Anderson,4-Tyler,Residential Treatment Center,Not Validated,1
2021,Angelina,5-Beaumont,Child Placing Agency/Branch,Not Validated,2
2021,Angelina,5-Beaumont,Child Placing Agency/Branch,Validated,1
2021,Austin,6-Houston,Residential Treatment Center,Not Validated,20
2021,Austin,6-Houston,Residential Treatment Center,Validated,3
2021,Bandera,8-San Antonio,General Residential Operation,Not Validated,1
2021,Bastrop,7-Austin,General Residential Operation,Not Validated,3
2021,Bastrop,7-Austin,Residential Treatment Center,Not Validated,10
2021,Bee,11-Edinburg,General Residential Operation,Not Validated,6
2021,Bell,7-Austin,Child Placing Agency/Branch,Not Validated,33
2021,Bell,7-Austin,Child Placing Agency/Branch,Validated,7
2021,Bell,7-Austin,General Residential Operation,Not Validated,7
2021,Bell,7-Austin,General Residential Operation,Validated,1
2021,Bell,7-Austin,Residential Treatment Center,Not Validated,33
2021,Bexar,8-San Antonio,Child Placing Agency/Branch,Not Validated,190
2021,Bexar,8-San Antonio,Child Placing Agency/Branch,Validated,20
2021,Bexar,8-San Antonio,General Residential Operation,Not Validated,108
2021,Bexar,8-San Antonio,General Residential Operation,Validated,15
2021,Bexar,8-San Antonio,Residential Treatment Center,Not Validated,80
2021,Bexar,8-San Antonio,Residential Treatment Center,Validated,6
2021,Bexar,8-San Antonio,Unregulated Operation,Not Validated,3
2021,Brazoria,6-Houston,General Residential Operation,Not Validated,2
2021,Brazoria,6-Houston,Residential Treatment Center,Not Validated,18
2021,Brazoria,6-Houston,Residential Treatment Center,Validated,1
2021,Brazos,7-Austin,Child Placing Agency/Branch,Not Validated,11
2021,Brazos,7-Austin,Child Placing Agency/Branch,Validated,1
2021,Brazos,7-Austin,Residential Treatment Center,Not Validated,11
2021,Brown,2-Abilene,Child Placing Agency/Branch,Not Validated,20
2021,Brown,2-Abilene,Child Placing Agency/Branch,Validated,1
2021,Brown,2-Abilene,General Residential Operation,Not Validated,7
2021,Burnet,7-Austin,Child Placing Agency/Branch,Not Validated,3
2021,Caldwell,7-Austin,Residential Treatment Center,Not Validated,16
2021,Cameron,11-Edinburg,Child Placing Agency/Branch,Not Validated,39
2021,Cameron,11-Edinburg,Child Placing Agency/Branch,Validated,8
2021,Cameron,11-Edinburg,General Residential Operation,Not Validated,47
2021,Cameron,11-Edinburg,Residential Treatment Center,Not Validated,8
2021,Cass,4-Tyler,General Residential Operation,Not Validated,3
2021,Collin,3-Arlington,Child Placing Agency/Branch,Not Validated,23
2021,Collin,3-Arlington,Child Placing Agency/Branch,Validated,2
2021,Collin,3-Arlington,General Residential Operation,Not Validated,3
2021,Collin,3-Arlington,Residential Treatment Center,Not Validated,16
2021,Collin,3-Arlington,Residential Treatment Center,Validated,1
2021,Comal,8-San Antonio,General Residential Operation,Not Validated,26
2021,Comal,8-San Antonio,General Residential Operation,Validated,2
2021,Comal,8-San Antonio,Residential Treatment Center,Not Validated,33
2021,Comal,8-San Antonio,Residential Treatment Center,Validated,5
2021,Comanche,2-Abilene,Child Placing Agency/Branch,Not Validated,6
