County FIPS,County Name,State FIPS,State Name,Primary and Commercial Airports,Non-Commercial -Civil Public Use Airports and Seaplane base,Non-Commercial -Other Aerodromes,Number of Bridges,% of Poor Condition Bridges,Number of business establishments,Percent of resident workers who commute by transit,Number of resident workers who work at home,Number of workers from other counties who commute to work in the county,Number of resident workers who commute to work in other counties,Number of resident workers who commute within county,Number of resident workers,Number of residents,Total Docks,Total Marinas,Route miles of freight railroad,% of Medium to Fair Condition Bridges,Route miles of passenger railroad and rail transit
01001,Autauga County,1,Alabama,0,1,0,114,0.035087719,869,0.000781893,510,15576,15417,8710,24300,55050,,,50.7,0.964912281,0
01003,Baldwin County,1,Alabama,0,4,28,360,0.019444444,5384,0.002143436,4380,24011,17748,62235,86310,199510,1,0,30.4,0.980555556,0
01005,Barbour County,1,Alabama,0,2,2,193,0.031088083,455,0.003984064,110,2368,1871,6395,8785,26615,0,0,14.7,0.968911917,0
01007,Bibb County,1,Alabama,0,1,0,126,0,284,0.004710145,100,4868,4816,3410,8280,22570,,,25.1,1,5.5
01009,Blount County,1,Alabama,0,1,1,183,0.087431694,698,0.001639344,480,14171,13981,7205,21350,57705,,,13.1,0.912568306,0
01011,Bullock County,1,Alabama,0,1,1,138,0.014492754,107,0.003601441,110,1699,1664,2465,4165,10550,,,,0.985507246,
01013,Butler County,1,Alabama,0,1,3,188,0.053191489,422,0,165,1925,1744,5755,7690,20280,,,45.3,0.946808511,0
01015,Calhoun County,1,Alabama,0,1,5,374,0.037433155,2319,0.002292827,1200,10171,8879,35630,45795,115885,,,65.9,0.962566845,29.3
01017,Chambers County,1,Alabama,0,1,1,184,0.070652174,554,0.002527988,300,8153,3955,5705,13845,34020,,,28.9,0.929347826,0
01019,Cherokee County,1,Alabama,0,1,3,169,0.017751479,361,0.005527638,190,5034,2385,4880,9950,25895,,,,0.982248521,
01021,Chilton County,1,Alabama,0,1,4,189,0.015873016,756,0.000866802,315,8965,8588,8335,17305,43815,,,59.4,0.984126984,0
01023,Choctaw County,1,Alabama,0,1,1,153,0.065359477,257,0,55,1774,632,2375,4145,13285,,,26.7,0.934640523,0
01025,Clarke County,1,Alabama,0,2,1,155,0.006451613,600,0.001747815,80,2219,1898,5800,8010,24845,,,42.9,0.993548387,0
01027,Clay County,1,Alabama,0,1,1,130,0.084615385,185,0.000743494,80,1989,1835,3390,5380,13485,,,28.8,0.915384615,0
01029,Cleburne County,1,Alabama,,,,165,0.109090909,170,0.000717489,130,3866,1530,1705,5575,14990,,,19.7,0.890909091,19.7
01031,Coffee County,1,Alabama,0,2,9,214,0.014018692,985,0.000181901,615,8745,8341,13195,21990,50990,,,4.6,0.985981308,0
01033,Colbert County,1,Alabama,1,0,3,175,0.011428571,1217,0.001155802,345,7543,6889,14095,21630,54375,5,0,70.3,0.988571429,0
01035,Conecuh County,1,Alabama,0,1,1,226,0.084070796,196,0,60,1544,1439,2215,3755,12695,,,39.1,0.915929204,0
01037,Coosa County,1,Alabama,0,0,1,129,0.062015504,96,0.005509642,115,2903,2879,740,3630,10865,,,12.9,0.937984496,0
01039,Covington County,1,Alabama,0,2,1,337,0.03264095,816,0.002111189,255,3022,1795,11095,14210,37730,,,29.2,0.96735905,0
01041,Crenshaw County,1,Alabama,0,1,0,171,0.029239766,214,0.000720721,175,2711,2551,2820,5550,13895,,,,0.970760234,
01043,Cullman County,1,Alabama,0,1,4,245,0.053061224,1739,0.001257466,720,9556,9090,22250,31810,81315,,,24.6,0.946938776,0
01045,Dale County,1,Alabama,1,1,14,203,0,744,0.001218027,485,8650,8208,11845,20525,49605,,,53.4,1,0
