,,,,,,All people in poverty (2019),,,Children ages 0-17 in poverty (2019),,,
,,,,,,,90% confidence interval of estimate,,,90% confidence interval of estimate,,
FIPS*,,,Name,,RUC Code,Percent,Lower Bound,Upper Bound,Percent,Lower Bound,Upper Bound,
48000,,,Texas,,,13.6,13.4,13.8,19.2,18.8,19.6,
48001,,,Anderson,,7,19.8,15,24.6,23.8,17,30.6,
48003,,,Andrews,,6,10.2,7.7,12.7,12.7,8.8,16.6,
48005,,,Angelina,,5,15.6,12.4,18.8,22.6,16.1,29.1,
48007,,,Aransas,,2,18.7,14.5,22.9,32.1,22.4,41.8,
48009,,,Archer,,3,10.3,8,12.6,12.8,8.9,16.7,
48011,,,Armstrong,,2,10.6,7.9,13.3,16.7,11.4,22,
48013,,,Atascosa,,1,14.7,11.4,18,19,12.4,25.6,
48015,,,Austin,,1,11.1,8.6,13.6,17,12.5,21.5,
48017,,,Bailey,,7,15.9,11.9,19.9,25.8,17.5,34.1,
48019,,,Bandera,,1,12.9,10.2,15.6,23.6,17.6,29.6,
48021,,,Bastrop,,1,14,11.6,16.4,23.8,19.1,28.5,
48023,,,Baylor,,8,15.9,11.8,20,24.5,16.7,32.3,
48025,,,Bee,,6,24,18,30,27.8,19.2,36.4,
48027,,,Bell,,2,13.8,12,15.6,18.4,14.2,22.6,
48029,,,Bexar,,1,15.2,14.2,16.2,22.4,20.4,24.4,
48031,,,Blanco,,8,8.6,6.3,10.9,14.7,9.8,19.6,
48033,,,Borden,,8,10.6,7.9,13.3,15.4,10.2,20.6,
48035,,,Bosque,,6,13.7,10.5,16.9,19.7,13.7,25.7,
48037,,,Bowie,,3,16.8,13.7,19.9,23.3,16.9,29.7,
48039,,,Brazoria,,1,8.6,6.8,10.4,11.1,8.1,14.1,
48041,,,Brazos,,3,20,18.1,21.9,19.4,15.4,23.4,
48043,,,Brewster,,7,13.1,9.8,16.4,19.8,13.5,26.1,
48045,,,Briscoe,,9,15,11.1,18.9,24.6,16.7,32.5,
48047,,,Brooks,,7,29.6,22.2,37,44.4,30.1,58.7,
48049,,,Brown,,5,13.7,10.3,17.1,21.8,14.7,28.9,
48051,,,Burleson,,3,13.8,10.4,17.2,21.8,14.9,28.7,
48053,,,Burnet,,6,10.5,8,13,16.3,11,21.6,
48055,,,Caldwell,,1,14.4,11.4,17.4,20.5,14.7,26.3,
48057,,,Calhoun,,6,14.7,11.1,18.3,22.6,15.3,29.9,
48059,,,Callahan,,3,12.1,9,15.2,18.7,12.5,24.9,
48061,,,Cameron,,2,25.5,23,28,36.3,31.6,41,
48063,,,Camp,,6,16.6,12.4,20.8,26.1,17.7,34.5,
48065,,,Carson,,2,8.5,6.4,10.6,11,7.6,14.4,
48067,,,Cass,,6,17.3,13.6,21,23.6,16.3,30.9,
48069,,,Castro,,6,15.3,11.2,19.4,22.7,15.5,29.9,
48071,,,Chambers,,1,8.6,6.8,10.4,11.9,8.9,14.9,
48073,,,Cherokee,,6,16.5,13.4,19.6,22.7,16.4,29,
48075,,,Childress,,7,21.9,16.3,27.5,25.9,17.6,34.2,
48077,,,Clay,,3,11.5,9,14,16,11.2,20.8,
48079,,,Cochran,,9,19.5,14.5,24.5,30.1,20.5,39.7,
48081,,,Coke,,8,13.1,9.8,16.4,17.9,12.2,23.6,
48083,,,Coleman,,6,17.7,13,22.4,30.4,20.7,40.1,
48085,,,Collin,,1,6.1,5.4,6.8,6.8,5.6,8,
48087,,,Collingsworth,,9,19.8,15.5,24.1,35.8,26.8,44.8,
48089,,,Colorado,,6,13.6,10.4,16.8,20.9,14.2,27.6,
48091,,,Comal,,1,6.7,5.2,8.2,9.4,6.2,12.6,
48093,,,Comanche,,7,13.5,9.7,17.3,22.1,14.7,29.5,
48095,,,Concho,,8,15.1,11.4,18.8,27,19,35,
48097,,,Cooke,,6,12.7,10.2,15.2,18.4,13.3,23.5,
48099,,,Coryell,,2,11.8,9.3,14.3,15.7,10.9,20.5,
48101,,,Cottle,,9,18.9,14.2,23.6,32.5,22,43,
48103,,,Crane,,6,9.6,7.1,12.1,13.6,9.3,17.9,
48105,,,Crockett,,7,13.8,10.3,17.3,19.3,13.1,25.5,
48107,,,Crosby,,2,22.1,16.6,27.6,33.6,22.7,44.5,
48109,,,Culberson,,9,19.7,14.7,24.7,30.6,20.7,40.5,
48111,,,Dallam,,7,11.4,8.6,14.2,17.4,11.8,23,
48113,,,Dallas,,1,14,13,15,20.9,19,22.8,
48115,,,Dawson,,7,20.6,15.9,25.3,28.9,20.5,37.3,
48117,,,Deaf Smith,,6,17,12.9,21.1,24.8,17.2,32.4,
48119,,,Delta,,8,16,12,20,25.5,17.5,33.5,
48121,,,Denton,,1,6.5,5.6,7.4,7.1,5.4,8.8,
48123,,,DeWitt,,6,17.1,12.7,21.5,24.3,16.4,32.2,
48125,,,Dickens,,8,19.4,14.4,24.4,26.2,17.8,34.6,
48127,,,Dimmit,,6,25.3,19.5,31.1,34.8,24.5,45.1,
48129,,,Donley,,8,16.4,12,20.8,24.5,16.4,32.6,
48131,,,Duval,,7,23.9,17.9,29.9,33.5,22.6,44.4,
48133,,,Eastland,,6,16.7,12.8,20.6,24.2,16.5,31.9,
48135,,,Ector,,3,12.1,9.4,14.8,17,12.3,21.7,
48137,,,Edwards,,9,20.7,15.4,26,34.5,23.4,45.6,
48139,,,Ellis,,1,8.7,7.2,10.2,12.8,9.9,15.7,
48141,,,El Paso,,2,18.8,17.2,20.4,26.2,23.1,29.3,
48143,,,Erath,,4,15.2,11.8,18.6,18.9,13.5,24.3,
48145,,,Falls,,2,21.6,16.5,26.7,28.1,19.6,36.6,
48147,,,Fannin,,6,13.2,10.3,16.1,16.1,11,21.2,
48149,,,Fayette,,6,10.9,8.4,13.4,15.3,10.5,20.1,
48151,,,Fisher,,8,13.3,9.6,17,22.2,15.1,29.3,
48153,,,Floyd,,6,17.3,12.6,22,30.3,20.2,40.4,
48155,,,Foard,,9,17,12.7,21.3,26.2,17.8,34.6,
48157,,,Fort Bend,,1,6.6,5.6,7.6,7.4,5.3,9.5,
48159,,,Franklin,,7,14.4,10.9,17.9,22.8,15.9,29.7,
48161,,,Freestone,,7,15.5,12,19,19.5,13.7,25.3,
48163,,,Frio,,6,27.7,21.7,33.7,35.9,27.2,44.6,
48165,,,Gaines,,7,13.2,9.9,16.5,19.5,12.9,26.1,
48167,,,Galveston,,1,11.3,9.4,13.2,16.1,12.1,20.1,
48169,,,Garza,,6,24.2,18.2,30.2,24.4,16.7,32.1,
48171,,,Gillespie,,7,8.5,6.3,10.7,13.6,9.1,18.1,
48173,,,Glasscock,,8,7.9,5.8,10,10.7,7.2,14.2,
48175,,,Goliad,,3,13.4,10,16.8,22.5,15.3,29.7,
48177,,,Gonzales,,6,16.2,12.6,19.8,23.7,16.4,31,
48179,,,Gray,,6,14.5,11,18,19,13,25,
48181,,,Grayson,,3,11.6,9.6,13.6,17.1,12.7,21.5,
48183,,,Gregg,,3,16.5,13.8,19.2,24.2,18.7,29.7,
48185,,,Grimes,,6,15.9,12.3,19.5,20.5,13.9,27.1,
48187,,,Guadalupe,,1,7.4,5.6,9.2,11.2,7.7,14.7,
48189,,,Hale,,4,17.9,13.6,22.2,23.9,15.8,32,
48191,,,Hall,,9,25.4,19.6,31.2,40.5,28.3,52.7,
48193,,,Hamilton,,6,14.3,10.9,17.7,21.9,15.3,28.5,
48195,,,Hansford,,7,11.7,8.8,14.6,16.8,11.6,22,
48197,,,Hardeman,,9,19.2,14.9,23.5,32.9,23.6,42.2,
48199,,,Hardin,,2,12.1,9.7,14.5,16.2,11.7,20.7,
48201,,,Harris,,1,15,14.4,15.6,21.3,20,22.6,
48203,,,Harrison,,4,17.8,14.8,20.8,26.8,21.6,32,
48205,,,Hartley,,7,8.6,6.4,10.8,8.3,5.6,11,
48207,,,Haskell,,6,20.7,15.3,26.1,29,19.2,38.8,
48209,,,Hays,,1,11.2,9.7,12.7,11.3,8.5,14.1,
48211,,,Hemphill,,7,9.1,6.8,11.4,11.7,8,15.4,
48213,,,Henderson,,4,17.5,14.8,20.2,30.3,24.9,35.7,
48215,,,Hidalgo,,2,26.9,24.8,29,37.4,33.9,40.9,
48217,,,Hill,,6,13.1,10.2,16,18.1,12.2,24,
48219,,,Hockley,,6,15.5,12.2,18.8,19.7,13.3,26.1,
48221,,,Hood,,1,9.2,7.2,11.2,14.8,10.2,19.4,
48223,,,Hopkins,,6,14.7,11.7,17.7,20.2,14.7,25.7,
48225,,,Houston,,7,20.9,15.8,26,28.8,19.9,37.7,
48227,,,Howard,,4,17,13.2,20.8,18.6,13,24.2,
48229,,,Hudspeth,,2,28,20.8,35.2,41.2,27.9,54.5,
48231,,,Hunt,,1,14.8,12.6,17,20.3,15.6,25,
48233,,,Hutchinson,,6,11.4,8.5,14.3,16.3,11.1,21.5,
48235,,,Irion,,3,7.4,5.5,9.3,9,6.1,11.9,
48237,,,Jack,,6,15.6,11.8,19.4,19.4,13.3,25.5,
48239,,,Jackson,,6,13.8,10.7,16.9,18.4,12.8,24,
48241,,,Jasper,,6,19.5,16.1,22.9,28.2,22.1,34.3,
48243,,,Jeff Davis,,9,12.7,9.5,15.9,39,24.4,53.6,
48245,,,Jefferson,,2,16.9,14.5,19.3,24.4,19.9,28.9,
48247,,,Jim Hogg,,6,22.8,17.2,28.4,35,24.1,45.9,
48249,,,Jim Wells,,4,21,16.3,25.7,29,19.9,38.1,
48251,,,Johnson,,1,11,9.2,12.8,15.9,12.4,19.4,
48253,,,Jones,,3,20.4,15.4,25.4,22,15,29,
48255,,,Karnes,,6,21,15.9,26.1,27,19.5,34.5,
48257,,,Kaufman,,1,9.8,8.1,11.5,13.8,10.5,17.1,
48259,,,Kendall,,1,7.4,5.7,9.1,10.9,8.1,13.7,
48261,,,Kenedy,,9,14.2,10.5,17.9,21.4,14.3,28.5,
48263,,,Kent,,9,11.5,8.6,14.4,14.1,9.6,18.6,
48265,,,Kerr,,4,12.5,9.7,15.3,20.4,13.9,26.9,
48267,,,Kimble,,7,17,13,21,32.6,22.4,42.8,
48269,,,King,,9,11,8.1,13.9,16.7,10.8,22.6,
48271,,,Kinney,,7,18.9,14.1,23.7,24.7,16.8,32.6,
48273,,,Kleberg,,4,23.3,19.1,27.5,31,22.9,39.1,
48275,,,Knox,,9,19.1,14.2,24,30.8,20.8,40.8,
48277,,,Lamar,,5,18.4,15.4,21.4,27.3,20.9,33.7,
48279,,,Lamb,,6,18.5,14.2,22.8,26.1,17.8,34.4,
48281,,,Lampasas,,2,12.4,9.6,15.2,19.2,12.8,25.6,
48283,,,La Salle,,6,26.6,20.4,32.8,27.4,18.3,36.5,
48285,,,Lavaca,,6,11,8.4,13.6,14.5,9.6,19.4,
48287,,,Lee,,6,10.7,7.9,13.5,16.1,10.7,21.5,
48289,,,Leon,,8,14.4,11.1,17.7,22.2,15.7,28.7,
48291,,,Liberty,,1,14.4,11.5,17.3,19,13.2,24.8,
48293,,,Limestone,,6,19.2,15.5,22.9,26,19,33,
48295,,,Lipscomb,,9,12.4,9.5,15.3,17.2,12.4,22,
48297,,,Live Oak,,8,16.5,12.5,20.5,23,15.6,30.4,
48299,,,Llano,,7,10.8,8.1,13.5,20.7,13.8,27.6,
48301,,,Loving,,9,7.1,5.2,9,10.2,6.6,13.8,
48303,,,Lubbock,,2,17.9,16.1,19.7,22.5,18.2,26.8,
48305,,,Lynn,,2,16,12,20,23.4,16,30.8,
48307,,,McCulloch,,7,17.6,13.3,21.9,26.4,17.6,35.2,
48309,,,McLennan,,2,18,16.2,19.8,22.6,18.4,26.8,
48311,,,McMullen,,9,10.5,7.8,13.2,13.8,9.2,18.4,
48313,,,Madison,,6,17.8,13.5,22.1,22.2,15.5,28.9,
48315,,,Marion,,8,21.4,16.4,26.4,32.9,22.7,43.1,
48317,,,Martin,,3,12.1,9,15.2,17.9,12.2,23.6,
48319,,,Mason,,9,11.7,8.7,14.7,20.4,13.8,27,
48321,,,Matagorda,,4,17.5,14,21,24.1,17.2,31,
48323,,,Maverick,,5,26.9,23.1,30.7,40.3,34.1,46.5,
48325,,,Medina,,1,12.2,9.4,15,19.4,14.5,24.3,
48327,,,Menard,,9,20.7,15.7,25.7,35.4,24.1,46.7,
48329,,,Midland,,3,9.9,8,11.8,12.3,8.8,15.8,
48331,,,Milam,,6,16.3,12.5,20.1,25.1,17.5,32.7,
48333,,,Mills,,9,13.2,9.5,16.9,24.9,16.9,32.9,
48335,,,Mitchell,,7,19.5,14.3,24.7,23.4,15.6,31.2,
48337,,,Montague,,6,12.9,9.9,15.9,18,11.9,24.1,
48339,,,Montgomery,,1,8.9,7.6,10.2,13.2,10.6,15.8,
48341,,,Moore,,7,11.9,9.3,14.5,15.1,10.4,19.8,
48343,,,Morris,,6,18.1,13.7,22.5,29,19.9,38.1,
48345,,,Motley,,9,17.6,13,22.2,30.9,21,40.8,
48347,,,Nacogdoches,,5,20.9,17.1,24.7,26.3,18.9,33.7,
48349,,,Navarro,,4,13.4,10.1,16.7,21.1,13.9,28.3,
48351,,,Newton,,2,22.8,18.4,27.2,28.3,20.1,36.5,
48353,,,Nolan,,6,17.5,13,22,23.6,15,32.2,
48355,,,Nueces,,2,16.5,14.2,18.8,23.1,18.4,27.8,
48357,,,Ochiltree,,7,11.4,8.9,13.9,16.2,11.6,20.8,
48359,,,Oldham,,2,13.1,9.9,16.3,29.5,19.8,39.2,
48361,,,Orange,,2,12.5,10.1,14.9,18.7,13.5,23.9,
48363,,,Palo Pinto,,6,17.2,13.9,20.5,26.2,19.3,33.1,
48365,,,Panola,,6,14.3,11.2,17.4,21.5,16.3,26.7,
48367,,,Parker,,1,8.2,6.7,9.7,10.4,7.3,13.5,
48369,,,Parmer,,7,11.8,8.6,15,17.8,11.9,23.7,
48371,,,Pecos,,7,18.7,14.4,23,23.1,16.5,29.7,
48373,,,Polk,,6,16.7,13.6,19.8,26.6,19.6,33.6,
48375,,,Potter,,2,20.3,17.3,23.3,26.1,19.9,32.3,
48377,,,Presidio,,7,19.2,14.3,24.1,29.1,19.5,38.7,
48379,,,Rains,,8,13.4,9.9,16.9,22.9,15.5,30.3,
48381,,,Randall,,2,9,7.5,10.5,12.1,9.4,14.8,
48383,,,Reagan,,6,8.9,6.6,11.2,12.2,8.3,16.1,
48385,,,Real,,9,17.7,13.7,21.7,32.7,23.3,42.1,
48387,,,Red River,,6,19.6,15.7,23.5,27.2,19.1,35.3,
48389,,,Reeves,,7,22.1,17.1,27.1,24.6,17.7,31.5,
48391,,,Refugio,,6,18,14,22,27,19.3,34.7,
48393,,,Roberts,,9,7.4,5.5,9.3,9.3,6.3,12.3,
48395,,,Robertson,,3,20.7,17,24.4,31,24.2,37.8,
48397,,,Rockwall,,1,4.8,3.7,5.9,6.5,4.5,8.5,
48399,,,Runnels,,6,17.2,13.5,20.9,23.7,17.2,30.2,
48401,,,Rusk,,3,15.4,12,18.8,20.4,14.4,26.4,
48403,,,Sabine,,8,17.6,13.8,21.4,26.6,18.6,34.6,
48405,,,San Augustine,,9,22.5,17.6,27.4,32.1,22.4,41.8,
48407,,,San Jacinto,,8,16.8,12.8,20.8,26.2,17.8,34.6,
48409,,,San Patricio,,2,14.4,11.3,17.5,20.6,14.2,27,
48411,,,San Saba,,7,20.7,16.3,25.1,34.4,26,42.8,
48413,,,Schleicher,,8,15,11.1,18.9,23.4,15.9,30.9,
48415,,,Scurry,,7,14.7,11.2,18.2,18.3,12.7,23.9,
48417,,,Shackelford,,8,12.7,9.7,15.7,17.5,12.1,22.9,
48419,,,Shelby,,7,21.4,17.6,25.2,32.5,25.9,39.1,
48421,,,Sherman,,9,11.1,8.3,13.9,13.7,9.2,18.2,
48423,,,Smith,,3,12.9,10.5,15.3,17.8,12.5,23.1,
48425,,,Somervell,,1,9.4,7.2,11.6,14.2,9.7,18.7,
48427,,,Starr,,4,32.5,27.9,37.1,43.2,34.9,51.5,
48429,,,Stephens,,7,17,12.8,21.2,26.9,18.3,35.5,
48431,,,Sterling,,8,10.7,8,13.4,12.9,8.7,17.1,
48433,,,Stonewall,,9,15.1,11.3,18.9,20.2,13.7,26.7,
48435,,,Sutton,,7,13.1,10,16.2,17.8,12.2,23.4,
48437,,,Swisher,,6,20.6,16.1,25.1,29.1,20.8,37.4,
48439,,,Tarrant,,1,10.2,9.4,11,13.9,12.1,15.7,
48441,,,Taylor,,3,14,11.7,16.3,18.9,14.2,23.6,
48443,,,Terrell,,9,17.5,13,22,20.7,13.9,27.5,
48445,,,Terry,,6,21.6,16.6,26.6,31,21.9,40.1,
48447,,,Throckmorton,,9,13.9,10.2,17.6,27.2,18.5,35.9,
48449,,,Titus,,7,16.3,13,19.6,23.2,16.8,29.6,
48451,,,Tom Green,,3,12.9,10.4,15.4,17.4,12.9,21.9,
48453,,,Travis,,1,10.8,9.8,11.8,13.6,11.5,15.7,
48455,,,Trinity,,7,17.9,13.5,22.3,29.8,20.9,38.7,
48457,,,Tyler,,6,17.2,13,21.4,23.3,15.7,30.9,
48459,,,Upshur,,3,14.9,11.8,18,21.1,15.4,26.8,
48461,,,Upton,,8,13.8,10.4,17.2,18.8,12.8,24.8,
48463,,,Uvalde,,6,19.8,15.2,24.4,29.9,20.4,39.4,
48465,,,Val Verde,,5,20.8,17.1,24.5,28.9,21.9,35.9,
48467,,,Van Zandt,,6,13.6,10.7,16.5,19.5,13.8,25.2,
