"","COUNTY","YEAR_1","CASEID_1","BLS_CAREHH_KID_1","BLS_CAREHH_KIDEDUC_1","BLS_CAREHH_KIDHEALTH_1","BLS_CAREHH_KIDOTHER_1","BLS_EDUC_1","BLS_FOOD_1","BLS_HHACT_HHMGMT_1","BLS_LEIS_ARTS_1","BLS_LEIS_ATTEND_1","BLS_LEIS_ATTSPORT_1","BLS_LEIS_PARTSPORT_1","BLS_LEIS_RELAX_1","BLS_LEIS_SOC_1","BLS_LEIS_SPORT_1","BLS_LEIS_TV_1","BLS_PCARE_1","BLS_PCARE_HEALTH_1","BLS_PURCH_BANK_1","BLS_PURCH_CONS_1","BLS_PURCH_GROC_1","BLS_PURCH_HEALTH_1","BLS_PURCH_HHSERV_1","BLS_PURCH_PCARE_1","BLS_PURCH_PROF_1","BLS_SOCIAL_RELIG_1","BLS_SOCIAL_VOLACT_1","BLS_WORK_OTHER_1","BLS_WORK_WORKING_1","BLS_WORK_WORKREL_1"
"1",1000,2019,20190644700680.3,12.3379310344828,0.827586206896552,0,11.5103448275862,5.93103448275862,69.2,4.27586206896552,0,2.61379310344828,5.13793103448276,9.13793103448276,347.055172413793,391.765517241379,14.2758620689655,269.420689655172,604.206896551724,7.08275862068966,0.482758620689655,17.6827586206897,4.51724137931035,2.82758620689655,0.827586206896552,0.655172413793103,4.10344827586207,28.8827586206897,3.68275862068965,0.413793103448276,101.027586206897,0
"2",1003,2019,20190688918176.6,35.4545454545455,0,0,35.4545454545455,0,63.1818181818182,0,0.454545454545455,0,10.9090909090909,6.81818181818182,269.818181818182,297.545454545455,23.1818181818182,214.363636363636,586.181818181818,0,4.54545454545455,27.1818181818182,8.18181818181818,0,0,10.9090909090909,15.4545454545455,0,3.63636363636364,2.72727272727273,138.636363636364,0
"3",1081,2019,20190579691487.4,0,0,0,0,0,67.875,3.125,0,0,32.125,93.75,248.375,278.5,125.875,144,575,0,1,59.25,0,0,0,3.125,4.125,15.625,0,0,126,0
"4",1097,2019,20190727257365.9,2,0,0,2,0,45,8.66666666666667,0,18.6666666666667,0,4,388.8,458.066666666667,4,300.466666666667,531.066666666667,3,0,35,4,0,0,0,0,24.6666666666667,2,0,142.733333333333,0
"5",2000,2019,20190664690077.2,40.3571428571429,0.214285714285714,0,40.1428571428571,0,75.2857142857143,5.64285714285714,9.28571428571429,0,0,6.07142857142857,277.214285714286,316.357142857143,6.07142857142857,175,573.928571428571,2.85714285714286,0,29.6428571428571,12.8571428571429,0,0,0,0,1.78571428571429,2.85714285714286,0,171.428571428571,0
"6",4000,2019,20190713405725,6.42857142857143,0,0,6.42857142857143,26.0714285714286,76,3.57142857142857,0,8.92857142857143,0,20.0714285714286,194,253.642857142857,20.0714285714286,138.214285714286,610.857142857143,0,0.714285714285714,43.8571428571429,9.28571428571429,0,1.07142857142857,6.42857142857143,7.14285714285714,11.7857142857143,0,3.21428571428571,181.428571428571,0
"7",4013,2019,20190687627532.4,28.3193277310924,1.21848739495798,0,27.1008403361345,17.4117647058824,82.0840336134454,17.2436974789916,16.1008403361345,4.53781512605042,1.51260504201681,24.9243697478992,227.756302521008,292.151260504202,26.436974789916,159.63025210084,586.638655462185,7.2436974789916,0.210084033613445,27.6638655462185,10.2941176470588,1.89075630252101,0.168067226890756,1.00840336134454,3.10924369747899,14.2436974789916,7.3109243697479,2.39495798319328,128.974789915966,0
"8",4019,2019,20190573472006.9,24.5384615384615,0,0.128205128205128,24.4102564102564,30.0769230769231,85.3333333333333,18.7948717948718,0,11.5641025641026,3.07692307692308,22.7435897435897,230.871794871795,272.923076923077,25.8205128205128,160.692307692308,600.025641025641,0.435897435897436,0.256410256410256,27.4102564102564,7.05128205128205,1.15384615384615,0,0.769230769230769,2.17948717948718,11.4102564102564,3.84615384615385,15.1025641025641,108.564102564103,0
"9",4021,2019,20190744191606.1,14.375,9.375,0,5,3.75,70.625,0,0,0,0,5,245.625,245.625,5,212.5,669.5,48.75,1.25,27.5,0,0,0.625,0,1.25,0,0,0,174.375,0
"10",4025,2019,20190683858008.3,0,0,0,0,0,115.555555555556,11.6666666666667,0,33.3333333333333,0,23.3333333333333,288.666666666667,349.777777777778,23.3333333333333,217.555555555556,552.444444444444,0,0,17.2222222222222,13.3333333333333,0,0,0,0,1.11111111111111,71.1111111111111,0,30.5555555555556,0
"11",4027,2019,20190638191381.6,43.1666666666667,2.5,0,40.6666666666667,11.6666666666667,64.5833333333333,3.33333333333333,25,10,0,3.75,267.083333333333,401.25,3.75,207.5,571.333333333333,0,0,19.1666666666667,15,0,0,0,0,41.25,0,0,32.5,0
"12",5000,2019,20190632414409.8,25.3189655172414,2.62931034482759,1.29310344827586,21.3965517241379,15,61.6724137931034,8.69827586206897,6.20689655172414,1.20689655172414,1.03448275862069,13.6206896551724,297.060344827586,339.73275862069,14.6551724137931,216.327586206897,609.48275862069,7.49137931034483,0.431034482758621,21.4741379310345,5.43103448275862,4.18103448275862,0.646551724137931,3.06034482758621,8.4051724137931,8.49137931034483,7.18103448275862,0,132.275862068966,0
"13",6000,2019,20190648185300.9,21.959595959596,3.13131313131313,0.313131313131313,18.5151515151515,19.2373737373737,82.6868686868687,12.510101010101,7.01010101010101,10.1515151515152,0,15.7070707070707,240.171717171717,296.318181818182,15.7828282828283,177.363636363636,582.959595959596,1.6010101010101,0.388888888888889,21.2424242424242,7.24747474747475,3.16666666666667,0.151515151515152,1.69191919191919,5.37373737373737,13.6616161616162,10.530303030303,5.27777777777778,137.338383838384,0
"14",6001,2019,20190666904396.2,22.3095238095238,0.714285714285714,0,21.5952380952381,39.6428571428571,74.2380952380952,31.8333333333333,4.54761904761905,1.07142857142857,9.16666666666667,22.7380952380952,189.404761904762,252.547619047619,31.9047619047619,125.642857142857,563,0.166666666666667,0.0714285714285714,21.547619047619,6.90476190476191,1.42857142857143,0.714285714285714,2.14285714285714,3.64285714285714,12.9761904761905,10.6666666666667,0,156.309523809524,0
"15",6007,2019,20190605080211.1,54.6666666666667,0,0,54.6666666666667,31.8888888888889,63.8888888888889,4.44444444444444,20,0,0,16.4444444444444,279,334,16.4444444444444,187.333333333333,647.333333333333,0.111111111111111,0,13.3333333333333,10,3.33333333333333,3.33333333333333,0,11.1111111111111,0,0,0,112.111111111111,0
"16",6017,2019,20190789390011.8,35.2,0,0,35.2,0,107.4,0,42,0,0,18,270.6,332.2,18,216.6,582,0,24,15,8,0,0,0,24,0,0,0,60,0
"17",6019,2019,20190538524377.1,42.6190476190476,13.5714285714286,0,29.047619047619,31.3333333333333,51.0476190476191,9.52380952380952,5.71428571428571,0,0,6.42857142857143,250.904761904762,281.619047619048,6.42857142857143,157,614.857142857143,5.23809523809524,0,14.3809523809524,3.80952380952381,22.8571428571429,0,5.23809523809524,28.0952380952381,12.1428571428571,0,10,167.47619047619,0
"18",6029,2019,20190686137477.4,39.2631578947368,0.526315789473684,12.8947368421053,25.8421052631579,26.8421052631579,72.4736842105263,2.78947368421053,7.63157894736842,0,0,25.2631578947368,245.368421052632,281.684210526316,25.2631578947368,167.894736842105,590.315789473684,58.7894736842105,2.36842105263158,27.3684210526316,11.0526315789474,9.47368421052632,0,0.526315789473684,12.3684210526316,11.5789473684211,18.9473684210526,0,99.3157894736842,0
"19",6031,2019,20190537524766.8,13.5,0,0,13.5,0,70.8333333333333,15,0,0,22.1666666666667,12.5,212.666666666667,237.666666666667,34.6666666666667,167.5,530.5,0.333333333333333,3.33333333333333,16.6666666666667,5,0,0,0,3.33333333333333,6.66666666666667,0,0,260,0
"20",6037,2019,20190640185618.9,29.1203703703704,1.80555555555556,2.12962962962963,25.1851851851852,24.7685185185185,77.5092592592593,16.9166666666667,6.02777777777778,7.15277777777778,3.19444444444444,16.962962962963,231.175925925926,287.518518518519,20.1574074074074,161.268518518519,596.50462962963,6.33333333333333,0.115740740740741,31.3472222222222,7.38888888888889,3.00925925925926,0.787037037037037,0.486111111111111,3.72685185185185,13.4953703703704,5.67592592592593,1.50462962962963,125.62037037037,0
"21",6053,2019,20190739858118.8,42.5,0,0,42.5,0,73.3333333333333,15,0,0,0,25,322.5,322.5,25,319.166666666667,630.666666666667,0,0,39.1666666666667,36.6666666666667,0,0,0,0,0,0,0,75,0
"22",6059,2019,20190609869947.3,23.6603773584906,2.16981132075472,0,21.4905660377358,41.3207547169811,81.2641509433962,17.3584905660377,12.1698113207547,6.9811320754717,1.69811320754717,18.5849056603774,195.188679245283,268.792452830189,21.6981132075472,130.339622641509,557.698113207547,9.64150943396226,0,23.9811320754717,8.32075471698113,3.77358490566038,0.528301886792453,0,3.77358490566038,2.83018867924528,11.4716981132075,0,147.415094339623,0
"23",6061,2019,20190726191495.5,9,0,0,9,0,105,8.5,40.5,16.7,0,37.5,220,316.6,38.5,196,590.5,0,1,19,4.5,0,0,0,1,3,0,0,146,0
"24",6067,2019,20190627278503.7,20,3.52941176470588,0,16.4705882352941,45.5882352941176,84.2647058823529,28.3823529411765,0.441176470588235,10.0294117647059,9.11764705882353,15.2941176470588,205.617647058824,271.323529411765,24.4117647058824,157.029411764706,548.735294117647,0.441176470588235,0.294117647058824,14.2058823529412,6.61764705882353,0,0,0,14.7058823529412,0,19.4117647058824,6.17647058823529,156.382352941176,0
"25",6073,2019,20190648756200.3,22.2105263157895,2.69736842105263,0,19.5131578947368,22.6973684210526,84.4736842105263,9.73684210526316,4.60526315789474,3.94736842105263,0.855263157894737,23.6184210526316,249.302631578947,309.118421052632,24.4736842105263,161.157894736842,603.355263157895,2.05263157894737,1.27631578947368,29.9342105263158,6.11842105263158,3.94736842105263,5.65789473684211,2.56578947368421,8.38157894736842,8.0921052631579,18.3947368421053,1.18421052631579,87.3684210526316,0
"26",6075,2019,20190736484784.5,46.5882352941176,0,0,46.5882352941176,0,108.764705882353,16,3.52941176470588,24.1176470588235,0,36.4705882352941,148.941176470588,201.294117647059,36.4705882352941,93.0588235294118,597.058823529412,1.76470588235294,0,16.1764705882353,7.05882352941176,0,0,0,0,29.6470588235294,17.9411764705882,0,163.705882352941,0
"27",6077,2019,20190690079910.8,19.7777777777778,0,4.5,15.2777777777778,22.5555555555556,53.3888888888889,10.8333333333333,0,0,0,21.0555555555556,240,267,21.0555555555556,182.944444444444,534.333333333333,1.38888888888889,0,29.3333333333333,6.66666666666667,0,0,0,0,11.7777777777778,27.7777777777778,0,183.722222222222,0
"28",6079,2019,20190705691289,0,0,0,0,0,67.5,11.25,0,0,0,0,314.5,344.5,0,168.75,638,8,0,41.25,11.25,10,11.25,0,10,0,41.25,0,0,0
"29",6081,2019,20190648905139.9,32.9523809523809,5.95238095238095,0,27,1.42857142857143,77.1428571428571,19.047619047619,0,0,0,24.047619047619,158.619047619048,207.52380952381,24.047619047619,126.238095238095,570.809523809524,0.952380952380952,0,50.3333333333333,8.33333333333333,1.42857142857143,0.952380952380952,0,1.42857142857143,11.6666666666667,8.57142857142857,0,184.142857142857,0
"30",6083,2019,20190693691724.5,38,0,0,38,73.875,94.375,13.75,0,0,0,16.25,180.5,236.75,16.25,117.5,643.5,19,0,17.5,13.125,0,0,0,0,0,0,1.875,81.75,0
"31",6087,2019,20190761464297.4,23.6363636363636,0,0,23.6363636363636,23.6363636363636,62.7272727272727,29.5454545454545,0,10.9090909090909,0,0,272.909090909091,296.090909090909,0,127.727272727273,578.181818181818,4.09090909090909,0,18.6363636363636,15.9090909090909,29.5454545454545,0,0,29.5454545454545,27.2727272727273,40,0,53.6363636363636,0
"32",6089,2019,20190706191884.2,0,0,0,0,0,70.5555555555556,23,0,0,0,21.6666666666667,241.666666666667,305.555555555556,21.6666666666667,148.888888888889,540.666666666667,0.666666666666667,0,9.66666666666667,0,3.33333333333333,0,0,3.33333333333333,3.33333333333333,13.3333333333333,0,92.7777777777778,0
"33",6095,2019,20190666045726.7,8.28571428571429,0,0,8.28571428571429,0,66.5714285714286,13.5714285714286,0,0,0,6.42857142857143,260,354.285714285714,6.42857142857143,115,502.142857142857,0,0,21.4285714285714,8.57142857142857,0,0,0,0,16.1428571428571,0,0,226.428571428571,0
