Table with column headers in row 3,,,,,,
"2020 Poverty Estimates for School districts                                                                                                                                                       Source: U.S. Census Bureau, Small Area Income and Poverty Program (SAIPE)                                                                                                              Release date:   December 2021",,,,,,
State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AL,01,00190,Alabaster City School District,"35,268","6,797",669
AL,01,00005,Albertville City School District,"22,120","4,163",918
AL,01,00030,Alexander City City School District,"16,819","2,579",700
AL,01,00060,Andalusia City School District,"8,818","1,471",346
AL,01,00090,Anniston City School District,"22,017","3,053",735
AL,01,00100,Arab City School District,"8,442","1,537",218
AL,01,00120,Athens City School District,"27,028","4,124",585
AL,01,00180,Attalla City School District,"6,006",942,226
AL,01,00210,Auburn City School District,"63,511","7,514",655
AL,01,00240,Autauga County School District,"56,145","9,647","1,378"
AL,01,00270,Baldwin County School District,"215,609","34,620","4,002"
AL,01,00300,Barbour County School District,"12,858","1,598",577
AL,01,00330,Bessemer City School District,"27,017","4,593","1,379"
AL,01,00360,Bibb County School District,"22,136","3,203",681
AL,01,00390,Birmingham City School District,"211,638","30,153","9,838"
AL,01,00420,Blount County School District,"51,227","8,763","1,342"
AL,01,00012,Boaz City School District,"9,779","1,767",407
AL,01,00450,Brewton City School District,"5,107",849,234
AL,01,00480,Bullock County School District,"9,976","1,511",547
AL,01,00510,Butler County School District,"19,504","3,205",934
AL,01,00540,Calhoun County School District,"54,267","9,162","1,281"
AL,01,00600,Chambers County School District,"26,628","4,052",911
AL,01,00630,Cherokee County School District,"26,294","3,647",795
AL,01,00188,Chickasaw City School District,"6,095",981,322
AL,01,00660,Chilton County School District,"44,397","7,827","1,504"
AL,01,00690,Choctaw County School District,"12,418","1,799",493
AL,01,00720,Clarke County School District,"17,976","2,824",820
AL,01,00750,Clay County School District,"13,112","1,944",449
AL,01,00780,Cleburne County School District,"14,611","2,434",451
AL,01,00810,Coffee County School District,"19,950","3,478",658
AL,01,00840,Colbert County School District,"24,052","3,595",673
AL,01,00870,Conecuh County School District,"11,851","1,812",590
AL,01,00900,Coosa County School District,"10,650","1,274",329
AL,01,00930,Covington County School District,"21,604","3,411",632
AL,01,00960,Crenshaw County School District,"13,681","2,330",553
AL,01,00990,Cullman City School District,"15,612","2,390",377
AL,01,01020,Cullman County School District,"68,870","11,372","1,887"
AL,01,01050,Dale County School District,"14,867","2,348",542
AL,01,01080,Daleville City School District,"11,214","1,740",468
AL,01,01110,Dallas County School District,"19,008","3,262","1,061"
AL,01,01140,DeKalb County School District,"57,517","10,389","1,951"
AL,01,01170,Decatur City School District,"55,958","9,228","1,786"
AL,01,01200,Demopolis City School District,"6,660","1,117",333
AL,01,01230,Dothan City School District,"69,162","11,188","2,459"
AL,01,01260,Elba City School District,"5,516",869,195
AL,01,01290,Elmore County School District,"74,778","12,194","1,883"
AL,01,01320,Enterprise City School District,"28,222","5,008",914
AL,01,01350,Escambia County School District,"31,174","5,025","1,237"
AL,01,01380,Etowah County School District,"59,073","9,503","1,615"
AL,01,01410,Eufaula City School District,"11,731","2,120",726
AL,01,01440,Fairfield City School District,"11,145","1,879",506
AL,01,01470,Fayette County School District,"15,012","2,327",513
AL,01,01530,Florence City School District,"39,896","5,085","1,174"
AL,01,01560,Fort Payne City School District,"14,141","2,504",466
AL,01,00001,Fort Rucker School District,"4,525",864,128
AL,01,01590,Franklin County School District,"21,747","3,817",776
AL,01,01620,Gadsden City School District,"36,208","5,280","1,648"
AL,01,01640,Geneva City School District,"6,187",969,377
AL,01,01660,Geneva County School District,"20,224","3,304",927
AL,01,01680,Greene County School District,"7,990","1,280",521
AL,01,00202,Gulf Shores City School District,"13,678","1,733",190
AL,01,01690,Guntersville City School District,"8,585","1,351",276
AL,01,01710,Hale County School District,"14,670","2,463",694
AL,01,01720,Haleyville City School District,"8,307","1,250",272
AL,01,01730,Hartselle City School District,"13,888","2,497",260
AL,01,01740,Henry County School District,"17,216","2,659",584
AL,01,01760,Homewood City School District,"24,823","3,762",222
AL,01,00007,Hoover City School District,"83,342","14,626",954
AL,01,01770,Houston County School District,"38,608","6,619","1,202"
AL,01,01800,Huntsville City School District,"204,565","28,125","4,710"
AL,01,01830,Jackson County School District,"37,269","5,734","1,136"
