DistName,n_schools,n_students,st_pct_black,st_pct_hisp,st_pct_white,st_pct_native,st_pct_asian,st_pct_pac,st_pct_mult,st_pct_ecodis,st_pct_englishlearners,st_pct_speced,st_pct_bilingual,st_pct_careertech,st_pct_gifted,attendance_rate,ann_dropout_rate,ann_grad_count_1819,avg_sat_1819,avg_act_1819,tot_staff_fte,tot_teach_fte,staff_pct_centraladmin,staff_pct_schooladmin,staff_pct_profsupport,staff_pct_teach,staff_pct_educaides,staff_pct_aux,avg_salary_central,avg_salary_school,avg_salary_prof,avg_salary_teach,staff_pct_minority,stud_teach_ratio,teach_pct_5underexp,teach_avgexp,teach_pct_advdegrees,teach_turnover_rate,teach_pct_black,teach_pct_hisp,teach_pct_white,teach_pct_native,teach_pct_asian,teach_pct_pac,teach_pct_mult,teach_pct_reged,teach_pct_speced,teach_pct_compeduc,teach_pct_esl,taxable_value_per_student_17,local_tax_rate_18,tot_operating_reevenue,rev_pct_state,rev_pct_local,rev_pct_fed,tot_other_rev,fund_balance,net_assets_charter,tot_expend_1819,tot_opexpend_per_student,,exp_pct_basiced,exp_pect_speced,exp_pct_state,exp_pct_esl,exp_pct_cartecheduc,exp_pct_gifted,exp_pct_athletics,exp_pct_hsallotment,exp_pct_kinder,exp_pct_na,district_size,community_type,property_wealth,tax_rate
CAYUGA ISD,3,557,3.1,8.1,84,0,0.4,0,4.5,40.9,0.2,14.7,0.2,29.6,7,96.7,0.5,48,1083,-1,99.7,50.4,3.3,3.2,5.8,50.5,12.2,24.9,65669,79162,53693,55115,14.7,11.1,9.7,17.3,9,5.9,7.7,1.9,90.3,0,0,0,0,82.8,10.9,0,0,497749,1.17,9316624,37.3,42.5,20.2,24698,1720970,0,8985224,15175,54.3,32.5,35.1,3.2,0.1,2.9,0.1,3.6,0.5,0.4,21.7,500 to 999,Rural,"$483,611 to < $530,196",Under $1.1701
ELKHART ISD,4,1246,4.9,11.8,78.4,0.4,0.3,0.1,4.1,53,1.8,11.8,1.8,30.3,3.5,96.4,0,80,1075,21.9,186.6,101.4,0.5,3.2,4.3,54.4,17.4,20.2,121000,69398,57090,48064,9.6,12.3,20.2,14,15.8,21.7,1,3.9,95.1,0,0,0,0,75.5,10.4,3.4,0,217766,1.36,13565792,63,28.9,8.1,869634,3459096,0,12905901,9327,60.2,45.4,8.8,6.8,0,7.3,0,2.9,0.9,0,27.9,"1,000 to 1,599",Non-metropolitan Stable,"$178,741 to < $225,013",$1.3141 to under $1.4301
FRANKSTON ISD,3,785,9.7,7.8,77.1,0.8,0.9,0,3.8,53.6,2.8,11.6,2.8,26.4,9,95.1,0,1,991,-1,124.1,63.8,2.4,2.5,5.4,51.4,15.3,23,93786,89867,63454,50251,11.5,12.3,44.3,10.9,26.2,24,7.8,0,92.2,0,0,0,0,84.9,5.7,0.8,0,302940,1.539,10151462,54.6,38.8,6.6,1048842,2851759,0,10138713,10962,52.4,44.8,8.3,4.3,0,6.3,0.1,6.5,0.7,1.3,27.8,500 to 999,Rural,"$288,727 to < $317,442",$1.4301 and over
NECHES ISD,2,352,7.1,13.1,75.9,0.6,0,0,3.4,47.4,2,7.1,2,45.5,6.5,95.9,0,22,1065,-1,64.1,34.5,0.8,4.7,1.6,53.8,14,25.1,125006,79442,72643,53354,12.4,10.2,20.3,14.6,4.3,3,2.9,0,97.1,0,0,0,0,79.4,5.3,0.7,0,279213,1.458,4660326,58.4,34.9,6.7,523654,677808,0,4561892,10989,51.9,37.3,11.1,10,0.1,4.1,0.4,0,1.2,0.7,35.1,Under 500,Rural,"$266,163 to < $288,727",$1.4301 and over
PALESTINE ISD,6,3434,26.2,42.3,26.6,0.2,0.9,0.1,3.8,79.6,17.3,11.6,16.1,32.3,2.5,95.8,0.1,207,1028,22.1,533.8,257.7,2,3.4,7.5,48.3,20,18.9,94105,78580,63390,47212,31.1,13.3,48,9.7,15,26.5,10.5,12.8,74.9,0.4,0,0,1.5,69.3,11.9,7.4,1.9,307828,1.53,43346504,44.8,37.8,17.5,4431181,9790806,0,42112619,10733,51.7,42.7,6.7,8.7,0.6,4.5,0.1,3.3,0.8,2.5,30.1,"3,000 to 4,999",Independent Town,"$288,727 to < $317,442",$1.4301 and over
WESTWOOD ISD,4,1514,19.6,24.4,50.7,0.7,0.4,0,4.2,64.1,6.1,14,5.5,26.9,2.8,95.6,0.5,72,1024,20.6,245.9,113.4,1.6,2.5,3.7,46.1,19.7,26.3,102933,75947,58834,45862,22,13.4,39.2,10.6,17.5,38.1,6.5,2.6,88.2,0.9,0.9,0,0.9,80.9,5.2,3.8,0.3,318277,1.17,16796941,50.7,38.7,10.6,20122,4450157,0,16456069,10034,52.4,42,9.5,9.5,0.2,3.1,0.2,4.2,1,0,30.2,"1,000 to 1,599",Non-metropolitan Stable,"$317,442 to < $337,807",Under $1.1701
SLOCUM ISD,2,381,0.8,8.9,86.1,0,0.5,0,3.7,41.7,0.3,13.4,0.3,42,3.9,97.4,0,22,1055,20.4,68.3,40.3,2.9,2.9,4,58.9,7,24.1,79384,81404,57589,51951,2.8,9.5,19.9,14.6,18,12.4,0,0,97.5,0,0,0,2.5,59.6,3.7,20.2,0,278764,1.188,4784513,61.3,32.3,6.4,85027,996089,0,4622684,10225,62.5,42.1,9.3,14.8,0.3,6.5,0.3,2.6,0.8,0,23.5,Under 500,Rural,"$266,163 to < $288,727",$1.1701 to under $1.3141
ANDREWS ISD,6,4352,0.6,68.5,28.4,0.4,0.3,0,1.7,48,13.2,8.5,14.9,23.8,6,96.1,0.4,272,1027,20.5,546.1,279,1.3,3,6,51.1,13.3,25.3,126420,84903,70330,61737,39.5,15.6,23.3,13.8,25.3,15.1,1.4,24.5,71.5,0.4,0.7,0,1.4,71.2,6.5,4.4,8.9,930152,1.2,51424092,10.1,83.3,6.6,8667012,24073970,0,50864709,9285,55.4,43.7,10.7,10.2,0.6,2.4,0.6,3.9,0.6,0,27.3,"3,000 to 4,999",Other Central City Suburban,"$847,341 and over",$1.1701 to under $1.3141
PINEYWOODS COMMUNITY ACADEMY,3,1041,15.1,28.1,52.2,0.1,1.2,0.1,3.3,53.3,4.4,9.1,4.4,16.3,9.3,96.1,0,55,987,-1,132.2,64.3,3,3.8,9.6,48.6,9.6,25.3,104125,85486,59086,52329,27.1,16.2,34.2,9.4,26.9,32.3,9.3,9.3,81.3,0,0,0,0,87.9,5.6,2.9,0,0,0,10687971,88.9,3.9,7.2,0,0,4610555,9611739,9193,60.2,54.6,6.1,10.8,0,0.2,0.6,1.5,0,0.3,25.9,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
HUDSON ISD,5,2945,7,26.4,62,0.7,1.2,0,2.7,52.9,6.2,9,5.8,34.5,5.5,95.9,1.3,208,1078,22,410,202.7,1,3.7,5.7,49.4,8,32.3,116197,77874,65350,53958,17.8,14.5,25.3,13.3,22.4,13.3,1,4.9,94.1,0,0,0,0,64.2,12.9,7.3,0.7,163786,1.28,31602638,62.3,27.9,9.8,1741654,6886434,0,30727890,8919,58.7,40.7,9.5,9.1,0.7,4.6,3.6,2.2,1.7,1.9,26.1,"1,600 to 2,999",Non-metropolitan Stable,"$131,514 to < $178,741",$1.1701 to under $1.3141
